Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,Oct 07,Apr 28,May 28,Sep 03,May 13,Jun 08,Jun 24
2002, Cycle 1,Oct 04,May 12,Jun 23,Sep 10,May 28,Jul 16,Aug 08
2003, Cycle 1,Oct 18,May 06,Jun 20,Sep 22,May 23,Jul 16,Aug 13
2004, Cycle 1,Oct 08,Apr 28,Jun 09,Sep 15,May 16,Jul 03,Aug 08
2005, Cycle 1,Oct 16,May 05,Jul 04,Sep 26,May 21,Jul 31,Aug 28
2006, Cycle 1,Oct 11,May 10,Jul 06,Sep 21,May 26,Aug 04,Aug 27
2007, Cycle 1,Oct 12,May 02,Jun 27,Sep 16,May 23,Jul 25,Aug 16
2008, Cycle 1,Oct 11,May 07,Jul 02,Sep 18,May 30,Jul 24,Aug 17
2009, Cycle 1,Oct 11,Apr 25,May 29,Sep 17,May 10,Jun 14,Jul 17
2010, Cycle 1,Oct 14,May 11,Jun 10,Sep 21,May 25,Jun 23,Jul 21
2011, Cycle 1,Oct 08,May 07,Jun 15,Sep 15,May 24,Jul 05,Aug 04
2012, Cycle 1,Oct 10,May 01,Jun 23,Sep 18,May 18,Jul 19,Aug 15
2013, Cycle 1,Oct 15,Apr 30,Jun 25,Sep 20,May 20,Jul 19,Aug 14
2014, Cycle 1,Oct 07,Apr 25,Jun 12,Sep 13,May 18,Jul 02,Jul 28
2015, Cycle 1,Oct 16,May 02,Jun 14,Sep 20,May 20,Jul 07,Aug 04
2016, Cycle 1,Oct 15,Apr 27,Jun 13,Sep 22,May 15,Jul 16,Aug 15
2017, Cycle 1,Oct 11,Apr 29,Jun 11,Sep 14,May 16,Jul 08,Aug 08
2018, Cycle 1,Oct 13,Apr 20,Jun 24,Sep 23,May 10,Jul 28,Aug 23
2019, Cycle 1,Oct 19,Apr 25,Jul 01,Sep 24,May 18,Jul 26,Aug 21
